ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
EE,0.840189523,2,156,18.5,-0.17293829,4,8,-0.353841387,0.1490815388,25,-2.373475547,0.0256195746,0.05,-0.660880564,-0.04680221
EE,0.734912535,2,153,19.5,-0.306644005,5,8,-0.353841387,0.1490815388,25,-2.373475547,0.0256195746,0.05,-0.660880564,-0.04680221
EE,0.618002934,3,225,20.5,-0.479645266,6,8,-0.353841387,0.1490815388,25,-2.373475547,0.0256195746,0.05,-0.660880564,-0.04680221
EL,0.09566807,11,286,15.5,-2.336472132,1,9,-2.448309235,0.1995290085,25,-12.27044255,4.448008E-12,0.05,-2.859246921,-2.03737155
EL,0.105472418,5,340,16.5,-2.239869312,2,9,-2.448309235,0.1995290085,25,-12.27044255,4.448008E-12,0.05,-2.859246921,-2.03737155
EL,0.122691839,2,340,17.5,-2.089961974,3,9,-2.448309235,0.1995290085,25,-12.27044255,4.448008E-12,0.05,-2.859246921,-2.03737155
EL,0.108626621,3,316,18.5,-2.210675046,4,9,-2.448309235,0.1995290085,25,-12.27044255,4.448008E-12,0.05,-2.859246921,-2.03737155
EL,0.14085945,3,316,19.5,-1.952918503,5,9,-2.448309235,0.1995290085,25,-12.27044255,4.448008E-12,0.05,-2.859246921,-2.03737155
EL,0.203297598,1,243,20.5,-1.588177536,6,9,-2.448309235,0.1995290085,25,-12.27044255,4.448008E-12,0.05,-2.859246921,-2.03737155
ES,0.32055,19,679,14.5,-1.134602226,0,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
ES,0.305118489,16,679,15.5,-1.183783033,1,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
ES,0.266716821,28,677,16.5,-1.317825495,2,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
ES,0.315461502,21,677,17.5,-1.150553683,3,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
ES,0.339658118,15,680,18.5,-1.076875892,4,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
ES,0.322989421,12,680,19.5,-1.127044415,5,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
ES,0.346044048,9,680,20.5,-1.058303566,6,10,-1.210011155,0.1489317198,25,-8.124603386,1.7707083E-8,0.05,-1.516741774,-0.903280536
FI,0.01494,0,392,14.5,-4.138923606,0,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
FI,0.010249286,1,401,15.5,-4.487450612,1,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
FI,0.003660219,1,359,16.5,-5.368692879,2,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
