ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
DE,0.395618513,22,768,15.5,-0.924780385,1,6,-3.47455258,0.1458631574,25,-23.8206319,1.055943E-18,0.05,-3.774963376,-3.174141784
DE,0.385563143,17,834,16.5,-0.950460052,2,6,-3.47455258,0.1458631574,25,-23.8206319,1.055943E-18,0.05,-3.774963376,-3.174141784
DE,0.293037868,18,882,17.5,-1.224046719,3,6,-3.47455258,0.1458631574,25,-23.8206319,1.055943E-18,0.05,-3.774963376,-3.174141784
DE,0.177330894,25,876,18.5,-1.724114502,4,6,-3.47455258,0.1458631574,25,-23.8206319,1.055943E-18,0.05,-3.774963376,-3.174141784
DE,0.154357724,27,890,19.5,-1.862024923,5,6,-3.47455258,0.1458631574,25,-23.8206319,1.055943E-18,0.05,-3.774963376,-3.174141784
DE,0.149538031,4,820,20.5,-1.893539528,6,6,-3.47455258,0.1458631574,25,-23.8206319,1.055943E-18,0.05,-3.774963376,-3.174141784
DK,0.01332,0,509,14.5,-4.246098117,0,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
DK,0.007595595,0,504,15.5,-4.756505391,1,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
DK,0.006919882,0,539,16.5,-4.838378972,2,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
DK,0.006357585,0,519,17.5,-4.912023597,3,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
DK,0.004983005,0,528,18.5,-5.118832298,4,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
DK,0.00248283,0,534,19.5,-5.659910135,5,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
DK,0.000641789,5,346,20.5,-6.411968774,6,7,-6.897289133,0.780322476,25,-8.839024052,3.6385115E-9,0.05,-8.504393356,-5.29018491
EE,0.6203,2,156,14.5,-0.475941222,0,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EE,0.670478056,2,158,15.5,-0.398273942,1,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EE,0.777400696,0,140,16.5,-0.250513854,2,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EE,0.869471687,0,152,17.5,-0.138720046,3,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EE,0.840189523,2,156,18.5,-0.17293829,4,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EE,0.734912535,2,153,19.5,-0.306644005,5,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EE,0.618002934,3,225,20.5,-0.479645266,6,8,-4.540815095,0.4696273061,25,-9.668975879,6.297234E-10,0.05,-5.508030637,-3.573599552
EL,0.09566807,11,286,15.5,-2.336472132,1,9,-3.251174227,0.3624754054,25,-8.969365037,2.7460557E-9,0.05,-3.997706299,-2.504642156
EL,0.105472418,5,340,16.5,-2.239869312,2,9,-3.251174227,0.3624754054,25,-8.969365037,2.7460557E-9,0.05,-3.997706299,-2.504642156
EL,0.122691839,2,340,17.5,-2.089961974,3,9,-3.251174227,0.3624754054,25,-8.969365037,2.7460557E-9,0.05,-3.997706299,-2.504642156
EL,0.108626621,3,316,18.5,-2.210675046,4,9,-3.251174227,0.3624754054,25,-8.969365037,2.7460557E-9,0.05,-3.997706299,-2.504642156
EL,0.14085945,3,316,19.5,-1.952918503,5,9,-3.251174227,0.3624754054,25,-8.969365037,2.7460557E-9,0.05,-3.997706299,-2.504642156
EL,0.203297598,1,243,20.5,-1.588177536,6,9,-3.251174227,0.3624754054,25,-8.969365037,2.7460557E-9,0.05,-3.997706299,-2.504642156
ES,0.32055,19,679,14.5,-1.134602226,0,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
ES,0.305118489,16,679,15.5,-1.183783033,1,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
ES,0.266716821,28,677,16.5,-1.317825495,2,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
