ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
DE,0.395618513,22,768,15.5,-0.924780385,1,6,-0.093788126,0.0433629507,25,-2.162863098,0.0403152075,0.05,-0.183095794,-0.004480457
DE,0.385563143,17,834,16.5,-0.950460052,2,6,-0.093788126,0.0433629507,25,-2.162863098,0.0403152075,0.05,-0.183095794,-0.004480457
DE,0.293037868,18,882,17.5,-1.224046719,3,6,-0.093788126,0.0433629507,25,-2.162863098,0.0403152075,0.05,-0.183095794,-0.004480457
DE,0.177330894,25,876,18.5,-1.724114502,4,6,-0.093788126,0.0433629507,25,-2.162863098,0.0403152075,0.05,-0.183095794,-0.004480457
DE,0.154357724,27,890,19.5,-1.862024923,5,6,-0.093788126,0.0433629507,25,-2.162863098,0.0403152075,0.05,-0.183095794,-0.004480457
DE,0.149538031,4,820,20.5,-1.893539528,6,6,-0.093788126,0.0433629507,25,-2.162863098,0.0403152075,0.05,-0.183095794,-0.004480457
DK,0.01332,0,509,14.5,-4.246098117,0,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
DK,0.007595595,0,504,15.5,-4.756505391,1,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
DK,0.006919882,0,539,16.5,-4.838378972,2,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
DK,0.006357585,0,519,17.5,-4.912023597,3,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
DK,0.004983005,0,528,18.5,-5.118832298,4,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
DK,0.00248283,0,534,19.5,-5.659910135,5,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
DK,0.000641789,5,346,20.5,-6.411968774,6,7,0.207526978,0.187257767,25,1.1082422981,0.2783056932,0.05,-0.178137612,0.5931915683
EE,0.6203,2,156,14.5,-0.475941222,0,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EE,0.670478056,2,158,15.5,-0.398273942,1,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EE,0.777400696,0,140,16.5,-0.250513854,2,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EE,0.869471687,0,152,17.5,-0.138720046,3,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EE,0.840189523,2,156,18.5,-0.17293829,4,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EE,0.734912535,2,153,19.5,-0.306644005,5,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EE,0.618002934,3,225,20.5,-0.479645266,6,8,-0.02030292,0.121766444,25,-0.166736579,0.8689185966,0.05,-0.271085606,0.2304797654
EL,0.09566807,11,286,15.5,-2.336472132,1,9,-0.351302589,0.1188435879,25,-2.956007938,0.0067096303,0.05,-0.59606554,-0.106539638
EL,0.105472418,5,340,16.5,-2.239869312,2,9,-0.351302589,0.1188435879,25,-2.956007938,0.0067096303,0.05,-0.59606554,-0.106539638
EL,0.122691839,2,340,17.5,-2.089961974,3,9,-0.351302589,0.1188435879,25,-2.956007938,0.0067096303,0.05,-0.59606554,-0.106539638
EL,0.108626621,3,316,18.5,-2.210675046,4,9,-0.351302589,0.1188435879,25,-2.956007938,0.0067096303,0.05,-0.59606554,-0.106539638
EL,0.14085945,3,316,19.5,-1.952918503,5,9,-0.351302589,0.1188435879,25,-2.956007938,0.0067096303,0.05,-0.59606554,-0.106539638
EL,0.203297598,1,243,20.5,-1.588177536,6,9,-0.351302589,0.1188435879,25,-2.956007938,0.0067096303,0.05,-0.59606554,-0.106539638
ES,0.32055,19,679,14.5,-1.134602226,0,10,-0.112797404,0.0459820785,25,-2.453073192,0.0214834277,0.05,-0.207499267,-0.018095541
ES,0.305118489,16,679,15.5,-1.183783033,1,10,-0.112797404,0.0459820785,25,-2.453073192,0.0214834277,0.05,-0.207499267,-0.018095541
ES,0.266716821,28,677,16.5,-1.317825495,2,10,-0.112797404,0.0459820785,25,-2.453073192,0.0214834277,0.05,-0.207499267,-0.018095541
ES,0.315461502,21,677,17.5,-1.150553683,3,10,-0.112797404,0.0459820785,25,-2.453073192,0.0214834277,0.05,-0.207499267,-0.018095541
