ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
ES,0.266716821,28,677,16.5,-1.317825495,2,10,0.0192900185,0.0409336869,25,0.4712504518,0.6415483798,0.05,-0.065014488,0.1035945248
ES,0.315461502,21,677,17.5,-1.150553683,3,10,0.0192900185,0.0409336869,25,0.4712504518,0.6415483798,0.05,-0.065014488,0.1035945248
ES,0.339658118,15,680,18.5,-1.076875892,4,10,0.0192900185,0.0409336869,25,0.4712504518,0.6415483798,0.05,-0.065014488,0.1035945248
ES,0.322989421,12,680,19.5,-1.127044415,5,10,0.0192900185,0.0409336869,25,0.4712504518,0.6415483798,0.05,-0.065014488,0.1035945248
ES,0.346044048,9,680,20.5,-1.058303566,6,10,0.0192900185,0.0409336869,25,0.4712504518,0.6415483798,0.05,-0.065014488,0.1035945248
FI,0.01494,0,392,14.5,-4.138923606,0,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FI,0.010249286,1,401,15.5,-4.487450612,1,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FI,0.003660219,1,359,16.5,-5.368692879,2,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FI,0.000994665,1,348,17.5,-6.217279179,3,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FI,0.00072033,2,347,18.5,-6.365239269,4,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FI,0.000460764,1,344,19.5,-6.528796002,5,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FI,0.000405966,0,340,20.5,-6.567030763,6,11,-0.419908719,0.041586702,25,-10.09718727,2.636874E-10,0.05,-0.505558135,-0.334259302
FR,0.24259,13,858,14.5,-1.412268795,0,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
FR,0.131291098,11,764,15.5,-2.022750501,1,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
FR,0.035528865,11,785,16.5,-3.309652505,2,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
FR,0.016032358,9,850,17.5,-4.072640322,3,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
FR,0.016342042,11,776,18.5,-4.054621529,4,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
FR,0.01575319,6,734,19.5,-4.089166564,5,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
