"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.990980614,119,180
"MS14",0.76058397,45,167
"MS4",9.06855764,18,18
"MS27",0.74159367,6,93
"MS13",0.963146459,6,21
"MS26",3.254730179,9,20
"MS20",2.648706037,103,340
"MS12",0.524498845,25,261
"MS7",2.634725009,3,94
"MS21",2.035880434,235,340
"MS16",1.916344046,202,384
"MS8",0.806579296,16,52
"MS29",3.000123458,121,230
"MS18",1.377635154,4,18
"MS25",0.861760324,63,171
"MS30",0.616775688,115,166
"MS6",0.421202234,18,37
