"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.00588235294117647,6,894
"MS14",0,6,706
"MS4",0,0,106
"MS9",0,0,252
"MS17",0,0,100
"MS12",0,7,713
"MS13",0,0,33
"MS26",0,1,150
"MS21",0.00588235294117647,0,532
"MS28",0,0,2
"MS5",0,0,183
"MS16",0.126168224299065,18,872
"MS8",0.0961538461538462,1,164
"MS19",0,3,232
"MS18",0,0,238
"MS25",0,0,36
"MS6",0,5,391
"MS30",0,4,185
"MS20",0,10,768
