"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.270752522,0,180
"MS14",0.33512686,9,167
"MS4",4.799969988,3,18
"MS27",0.149320218,6,93
"MS13",2.12663809,6,21
"MS26",0.514421504,1,20
"MS20",0.077919955,8,340
"MS12",0.325496708,2,261
"MS7",0.798936131,0,94
"MS21",0.866586203,2,340
"MS16",0.17992096,6,384
"MS8",0.158150255,0,52
"MS29",2.220569468,5,230
"MS18",1.29587252,2,18
"MS25",0.691027046,14,171
"MS30",0.022185711,2,166
"MS6",0.761622252,0,37
