"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.2,113,894
"MS14",0.666666666666667,250,706
"MS12",0.202127659574468,199,713
"MS21",0.911764705882353,305,426
"MS5",0.4,14,183
"MS16",0.464705882352941,426,872
"MS18",1,87,238
"MS25",0,6,36
"MS6",1,76,278
"MS30",0,36,184
"MS20",0.405882352941176,211,768
