"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",1.261967493,8,180
"MS14",2.500525304,72,167
"MS4",4.40224133,4,18
"MS27",1.622567556,3,93
"MS13",2.571919749,2,21
"MS26",1.992565592,5,20
"MS20",3.005530559,70,340
"MS12",0.294987774,32,261
"MS7",3.527869633,14,94
"MS21",2.781313591,92,340
"MS16",4.269999079,138,384
"MS8",0.403357054,26,52
"MS29",6.131640912,80,230
"MS18",3.467939068,8,18
"MS25",1.909059618,37,171
"MS30",2.653620655,75,166
"MS6",0.526348345,19,37
